pin,address,class,class_desc,board_bldg,char_bldg_sf,bldg_per_sqft,group,char_yrblt,lat,lon
16081210150000,167 N TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",45177,2173,20.79,Ridgeland,1919,41.88998179,-87.77865812
16081200030000,170 N HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39930,2162,18.47,Ridgeland,1870,41.89001544,-87.78112199
16081230040000,170 N HUMPHREY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",31651,1680,18.84,Ridgeland,1922,41.89004413,-87.77627066
16081210030000,170 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",41101,1976,20.8,Ridgeland,1908,41.89001843,-87.77948162
16081220030000,170 N TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",44030,1668,26.4,Ridgeland,1890,41.89004622,-87.77782716
16081190040000,172 N CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",32525,1408,23.1,Ridgeland,1880,41.89006974,-87.78279468
16081190030000,174 N CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",36172,1636,22.11,Ridgeland,1892,41.89015403,-87.78277573
16081210020000,174 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40030,1796,22.29,Ridgeland,1893,41.8901518,-87.77948047
16081190010000,178 N CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",34652,1633,21.22,Ridgeland,1890,41.8902438,-87.78276402
16081200010000,178 N HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",41930,2082,20.14,Ridgeland,1906,41.89027947,-87.78112337
16081160110000,200 N TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",45945,1944,23.63,Ridgeland,1912,41.89061812,-87.77788781
16083060130000,201 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",41368,1792,23.08,Ridgeland,1907,41.88509788,-87.78337616
16083020250000,202 PLEASANT ST,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",34365,1688,20.36,Ridgeland,1914,41.88548907,-87.77994702
16083070020000,202 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",32530,1608,20.23,Ridgeland,1916,41.88502202,-87.78260273
16081130100000,203 N HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",42311,1992,21.24,Ridgeland,1900,41.89062904,-87.7819296
16074110020000,204 S ELMWOOD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",41750,2077,20.1,Ridgeland,1908,41.88490269,-87.78587767
16083100020000,204 S TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",31109,1540,20.2,Ridgeland,1913,41.88506989,-87.7777224
16081140180000,205 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",44636,2010,22.21,Ridgeland,1914,41.89070277,-87.7802617
16083140090000,205 RANDOLPH ST,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",46425,1959,23.7,Ridgeland,1888,41.88357797,-87.78006686
16083060140000,205 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",56172,2067,27.18,Ridgeland,1907,41.88497778,-87.78338318
16083070160000,205 S HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",44475,2128,20.9,Ridgeland,1888,41.88497718,-87.78167414
16083100120000,205 S HUMPHREY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",49960,2046,24.42,Ridgeland,1904,41.88506199,-87.77679592
16074090140000,205 S SCOVILLE AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",43923,2151,20.42,Ridgeland,1902,41.88484473,-87.7882183
16083020240000,206 PLEASANT ST,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",32526,1608,20.23,Ridgeland,1921,41.88547894,-87.78006643
16083070030000,206 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40054,1619,24.74,Ridgeland,1913,41.8849222,-87.78258919
16083140380000,206 WASHINGTON BLVD,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",35254,1651,21.35,Ridgeland,1910,41.8820355,-87.77996333
